Voltage,Current,State
-7.939338684082031,6.0,2
-6.556510925292969,6.0,2
-5.698204040527344,6.0,2
-5.078315734863281,6.0,2
-4.646778106689453,5.0,2
-4.251003265380859,5.0,2
-3.917217254638672,5.0,2
-3.6263465881347656,5.0,2
-3.3736228942871094,5.0,2
-3.148808479309082,4.0,0
-2.94281005859375,4.0,0
-2.7582740783691406,4.0,0
-2.5870895385742188,4.0,0
-2.4306869506835938,4.0,2
-2.2857284545898438,4.0,2
-2.1512603759765625,4.0,2
-2.0258522033691406,4.0,2
-1.9095039367675781,4.0,2
-1.8021888732910156,3.0,0
-1.7033405303955078,3.0,0
-1.6110243797302246,3.0,0
-1.5272912979125977,3.0,0
-1.448756217956543,3.0,0
-1.3758950233459473,3.0,0
-1.3077545166015625,3.0,0
-1.2438583374023438,3.0,0
-1.184253215789795,3.0,0
-1.128272533416748,3.0,0
-1.075772762298584,3.0,0
-1.0279455184936523,3.0,0
-0.9835996627807617,3.0,0
-0.9424962997436523,3.0,0
-0.9047303199768066,3.0,0
-0.8694920539855957,3.0,0
-0.8378300666809082,3.0,0
-0.8078842163085938,3.0,0
-0.7807521820068359,3.0,0
-0.7542400360107422,3.0,0
-0.7303028106689453,3.0,0
-0.7075099945068359,3.0,0
-0.6856703758239746,3.0,0
-0.6638789176940918,3.0,0
-0.6427550315856934,3.0,0
-0.621345043182373,3.0,0
-0.5997920036315918,3.0,0
-0.577237606048584,3.0,0
-0.5524415969848633,3.0,0
-0.5251665115356445,3.0,0
-0.4933614730834961,3.0,0
-0.45383167266845703,3.0,0
-0.4064335823059082,3.0,0
-0.34663820266723633,3.0,0
-0.26857948303222656,3.0,0
-0.1669173240661621,3.0,2
-0.033974647521972656,3.0,2
0.1379256248474121,3.0,2
0.3602280616760254,3.0,0
0.6410384178161621,3.0,0
0.9797372817993164,3.0,0
1.3875775337219238,3.0,0
1.8547840118408203,3.0,0
2.355083465576172,3.0,0
2.8762693405151367,3.0,0
3.3778562545776367,3.0,0
3.8195037841796875,3.0,0
4.166166305541992,3.0,0
4.4166975021362305,3.0,0
4.558938026428223,3.0,0
4.601042747497559,3.0,0
4.573195457458496,3.0,0
4.492562294006348,3.0,0
4.375069618225098,3.0,0
4.244462966918945,3.0,0
4.109135627746582,3.0,0
3.9749536514282227,3.0,0
3.8441085815429688,3.0,0
3.721752166748047,3.0,0
3.608168601989746,3.0,0
3.5015478134155273,3.0,0
3.4047021865844727,3.0,0
3.315532684326172,3.0,0
3.2345657348632812,3.0,0
3.15960693359375,3.0,0
3.0915136337280273,3.0,0
3.028475761413574,3.0,0
2.9710168838500977,3.0,0
2.91794490814209,3.0,0
2.8691635131835938,3.0,0
2.8212890625,3.0,0
2.776752471923828,3.0,0
2.7342185974121094,3.0,0
2.6913986206054688,3.0,0
2.6521549224853516,3.0,0
2.6171064376831055,3.0,0
2.5824403762817383,3.0,0
2.549777030944824,3.0,0
2.5200700759887695,3.0,0
2.491316795349121,3.0,0
2.462611198425293,3.0,0
2.4356698989868164,3.0,0
2.4129247665405273,3.0,0
2.39194393157959,3.0,0
2.3792600631713867,3.0,0
2.374300003051758,3.0,0
2.37515926361084,3.0,0
2.37973690032959,3.0,0
2.3891305923461914,3.0,0
2.400383949279785,3.0,0
2.4134016036987305,3.0,0
2.432284355163574,3.0,0
2.4548864364624023,3.0,0
2.479109764099121,3.0,0
2.5087690353393555,3.0,0
2.539811134338379,3.0,0
2.5722837448120117,3.0,0
2.60709285736084,3.0,0
2.6461944580078125,3.0,0
2.6903018951416016,3.0,0
2.7376041412353516,3.0,0
2.7885780334472656,3.0,0
2.487788200378418,3.0,0
2.2982444763183594,3.0,0
2.1634902954101562,3.0,0
2.0572023391723633,3.0,0
1.9692258834838867,3.0,0
1.9005136489868164,3.0,0
1.8427677154541016,3.0,0
1.794607162475586,3.0,0
1.7530269622802734,3.0,0
1.7202682495117188,3.0,0
1.693899154663086,3.0,0
1.6720118522644043,3.0,0
1.6543211936950684,3.0,0
1.6374411582946777,3.0,0
1.6232314109802246,3.0,0
1.6113581657409668,3.0,0
1.5987696647644043,3.0,0
1.584702968597412,3.0,0
1.5716376304626465,3.0,0
1.5574750900268555,3.0,0
1.543503761291504,3.0,0
1.528578758239746,3.0,0
1.5140352249145508,3.0,0
1.4990148544311523,3.0,0
1.4854249954223633,3.0,0
1.472550392150879,3.0,0
1.460343360900879,3.0,0
1.4483747482299805,3.0,0
1.436739444732666,3.0,0
1.4248661994934082,3.0,0
1.4140896797180176,3.0,0
1.4021687507629395,3.0,0
1.3891034126281738,3.0,0
1.3748936653137207,3.0,0
1.3601117134094238,3.0,0
1.3433270454406738,3.0,0
1.3265423774719238,3.0,0
1.3077545166015625,3.0,0
1.2874412536621094,3.0,0
1.264791488647461,3.0,0
1.239471435546875,3.0,0
1.2105274200439453,3.0,0
1.1781973838806152,3.0,0
1.140336513519287,3.0,0
1.0961813926696777,3.0,0
1.0412492752075195,3.0,0
0.9724893569946289,3.0,0
0.8842740058898926,3.0,0
0.7724552154541016,3.0,0
0.6270194053649902,3.0,0
0.44090938568115234,3.0,0
0.21088218688964844,3.0,2
-0.07827329635620117,3.0,2
-0.4201188087463379,3.0,0
-0.8086471557617188,3.0,0
-1.2397575378417969,3.0,0
-1.6927070617675781,3.0,0
-2.135690212249756,3.0,0
-2.5445797443389893,3.0,0
-2.906977415084839,3.0,0
-3.197038412094116,3.0,0
-3.4104716777801514,3.0,0
-3.5507099628448486,3.0,0
-3.61970853805542,3.0,0
-3.6284823417663574,3.0,0
-3.5951037406921387,3.0,0
-3.5273923873901367,3.0,0
-3.439558744430542,3.0,0
-3.3356077671051025,3.0,0
-3.2274608612060547,3.0,0
-3.117978572845459,3.0,0
-3.009211540222168,3.0,0
-2.9074065685272217,3.0,0
-2.811180353164673,3.0,0
-2.7211532592773438,3.0,0
-2.6372294425964355,3.0,0
-2.5618412494659424,3.0,0
-2.4929380416870117,3.0,0
-2.42999529838562,3.0,0
-2.3746819496154785,3.0,0
-2.3251383304595947,3.0,0
-2.280792236328125,3.0,0
-2.243265151977539,3.0,0
-2.210887908935547,3.0,0
-2.184089183807373,3.0,0
-2.162583827972412,3.0,0
-2.1457037925720215,3.0,0
-2.1340689659118652,3.0,0
-2.126725673675537,3.0,0
-2.1240077018737793,3.0,0
-2.126677989959717,3.0,0
-2.1333060264587402,3.0,0
-2.1451315879821777,3.0,0
-2.1615824699401855,3.0,0
-2.1823248863220215,3.0,0
-2.2076454162597656,3.0,0
-2.2371139526367188,3.0,0
-2.2707786560058594,3.0,0
-2.3086397647857666,3.0,0
-2.351841449737549,3.0,0
-2.3981423377990723,3.0,0
-2.4477813243865967,3.0,0
-2.5019025802612305,3.0,0
-2.5615551471710205,3.0,0
-2.62416410446167,3.0,0
-2.689347982406616,3.0,0
-2.7589187622070312,3.0,0
-2.831016778945923,3.0,0
-2.9054512977600098,3.0,0
-2.9836530685424805,3.0,0
-3.0643341541290283,3.0,0
-3.1452059745788574,3.0,0
-3.2297496795654297,3.0,0
-3.31691575050354,3.0,0
-3.405369281768799,3.0,0
-3.492964744567871,3.0,0
-3.5824196338653564,3.0,0
-3.675689458847046,3.0,0
-3.765096664428711,3.0,0
-3.6103148460388184,3.0,0
-3.4017930030822754,3.0,0
-3.218209981918335,3.0,0
-3.0534145832061768,3.0,0
-2.9082648754119873,3.0,0
-2.7748451232910156,3.0,0
-2.6484827995300293,3.0,0
-2.5287961959838867,3.0,0
-2.4178359508514404,3.0,0
-2.3114054203033447,3.0,0
-2.2098388671875,3.0,0
-2.112802028656006,3.0,0
-2.01853084564209,3.0,0
-1.928551197052002,3.0,0
-1.8440556526184082,3.0,0
-1.7655200958251953,3.0,0
-1.6916580200195312,3.0,0
-1.6197504997253418,3.0,0
-1.553135871887207,3.0,0
-1.4905271530151367,3.0,0
-1.429110050201416,3.0,0
-1.370363712310791,3.0,0
-1.316051959991455,3.0,0
-1.2624073028564453,3.0,0
-1.211862564086914,3.0,0
-1.1643691062927246,3.0,0
-1.118211269378662,3.0,0
-1.0743422508239746,3.0,0
-1.033381462097168,3.0,0
-0.9951391220092773,3.0,0
-0.9588518142700195,3.0,0
-0.9259495735168457,3.0,0
-0.8943829536437988,3.0,0
-0.8651528358459473,3.0,0
-0.8394989967346191,3.0,0
-0.8163723945617676,3.0,0
-0.7931976318359375,3.0,0
-0.7715492248535156,3.0,0
-0.7520465850830078,3.0,0
-0.7327823638916016,3.0,0
-0.7149009704589844,3.0,0
-0.6973533630371094,3.0,0
-0.6783747673034668,3.0,0
-0.6569170951843262,3.0,0
-0.634315013885498,3.0,0
-0.6098055839538574,3.0,0
-0.5834841728210449,3.0,0
-0.5538721084594727,3.0,0
-0.5198736190795898,3.0,0
-0.47939014434814453,3.0,0
-0.42946481704711914,3.0,0
-0.3675236701965332,3.0,0
-0.28793907165527344,3.0,0
-0.18808937072753906,3.0,2
-0.05958080291748047,3.0,2
0.1031641960144043,3.0,2
0.3123054504394531,3.0,0
0.571134090423584,3.0,0
0.8850846290588379,3.0,0
1.2612628936767578,3.0,0
1.6935176849365234,3.0,0
2.1631088256835938,3.0,0
2.658306121826172,3.0,0
3.1473522186279297,3.0,0
3.59195613861084,3.0,0
3.959742546081543,3.0,0
4.241029739379883,3.0,0
4.423373222351074,3.0,0
4.504912376403809,3.0,0
4.513972282409668,3.0,0
4.4609479904174805,3.0,0
4.365388870239258,3.0,0
4.247991561889648,3.0,0
4.119626045227051,3.0,0
3.9869699478149414,3.0,0
3.8559341430664062,3.0,0
3.731813430786133,3.0,0
3.6164655685424805,3.0,0
3.50803279876709,3.0,0
3.409661293029785,3.0,0
3.3186798095703125,3.0,0
3.2347564697265625,3.0,0
3.158557891845703,3.0,0
3.0877466201782227,3.0,0
3.0222768783569336,3.0,0
2.961337089538574,3.0,0
2.9082651138305664,3.0,0
2.8569564819335938,3.0,0
2.8120861053466797,3.0,0
2.7731761932373047,3.0,0
2.7335987091064453,3.0,0
2.701650619506836,3.0,0
2.6692733764648438,3.0,0
2.6349411010742188,3.0,0
2.5999879837036133,3.0,0
2.5670862197875977,3.0,0
2.5379514694213867,3.0,0
2.51101016998291,3.0,0
2.4870729446411133,3.0,0
2.4666643142700195,3.0,0
2.4497365951538086,3.0,0
2.435336112976074,3.0,0
2.4236536026000977,3.0,0
2.414212226867676,3.0,0
2.4071550369262695,3.0,0
2.401576042175293,3.0,0
2.401862144470215,3.0,0
2.405533790588379,3.0,0
2.412543296813965,3.0,0
2.4244165420532227,3.0,0
2.4407243728637695,3.0,0
2.459750175476074,3.0,0
2.481112480163574,3.0,0
2.5050973892211914,3.0,0
2.5320863723754883,3.0,0
2.5618410110473633,3.0,0
2.596888542175293,3.0,0
2.6379451751708984,3.0,0
2.6810989379882812,3.0,0
2.7315006256103516,3.0,0
2.4473047256469727,3.0,0
2.266773223876953,3.0,0
2.1334972381591797,3.0,0
2.0306901931762695,3.0,0
1.9493894577026367,3.0,0
1.881678581237793,3.0,0
1.8273181915283203,3.0,0
1.7820186614990234,3.0,0
1.74334716796875,3.0,0
1.7097301483154297,3.0,0
1.680070400238037,3.0,0
1.6570391654968262,3.0,0
1.635343074798584,3.0,0
1.6177477836608887,3.0,0
1.6020598411560059,3.0,0
1.5889945030212402,3.0,0
1.5754523277282715,3.0,0
1.5594778060913086,3.0,0
1.5436944961547852,3.0,0
1.527482032775879,3.0,0
1.5116033554077148,3.0,0
1.497298240661621,3.0,0
1.4839468002319336,3.0,0
1.4722166061401367,3.0,0
1.462489128112793,3.0,0
1.4509496688842773,3.0,0
1.4376459121704102,3.0,0
1.4238648414611816,3.0,0
1.4092259407043457,3.0,0
1.3946824073791504,3.0,0
1.38090181350708,3.0,0
1.36564302444458,3.0,0
1.3516716957092285,3.0,0
1.3422303199768066,3.0,0
1.33359956741333,3.0,0
1.326256275177002,3.0,0
1.316481113433838,3.0,0
1.3041305541992188,3.0,0
1.2912559509277344,3.0,0
1.274566650390625,3.0,0
1.2575912475585938,3.0,0
1.2363243103027344,3.0,0
1.2131977081298828,3.0,0
1.1856837272644043,3.0,0
1.1532111167907715,3.0,0
1.1050505638122559,3.0,0
1.038722038269043,3.0,0
0.9530820846557617,3.0,0
0.8427414894104004,3.0,0
0.6999282836914062,3.0,0
0.5195398330688477,3.0,0
0.2985725402832031,3.0,0
0.02448558807373047,3.0,2
-0.29676055908203125,3.0,0
-0.6593966484069824,3.0,0
-1.06294584274292,3.0,0
-1.486617088317871,3.0,0
-1.9049477577209473,3.0,0
-2.294525384902954,3.0,0
-2.6439528465270996,3.0,0
-2.9332988262176514,3.0,0
-3.1509757041931152,3.0,0
-3.304517984390259,3.0,0
-3.3911118507385254,3.0,0
-3.4207236766815186,3.0,0
-3.4068477153778076,3.0,0
-3.3567795753479004,3.0,0
-3.284395456314087,3.0,0
-3.193986654281616,3.0,0
-3.0980944633483887,3.0,0
-2.999722480773926,3.0,0
-2.900635242462158,3.0,0
-2.8062212467193604,3.0,0
-2.7173383235931396,3.0,0
-2.6354174613952637,3.0,0
-2.5575973987579346,3.0,0
-2.4884557723999023,3.0,0
-2.4248454570770264,3.0,0
-2.366337299346924,3.0,0
-2.3154585361480713,3.0,0
-2.2706356048583984,3.0,0
-2.2314395904541016,3.0,0
-2.1973934173583984,3.0,0
